,vm_pu,va_degree,p_mw,q_mvar,lam_p,lam_q
0,1.000000000026414,0.0,-3.9176771264435,-2.435140970964823,19.999998295665897,9.71333940083139e-07
1,0.9970322597557031,0.014481414064116974,0.1,0.06,20.095821653330344,0.05898977239550708
2,0.9829379834224928,0.09604158128886504,0.09,0.04000000000000001,20.558186478293237,0.35265554799808263
3,0.9754564132480792,0.16165144844413867,0.12,0.07999999999999999,20.805834714914763,0.5266593337877361
4,0.9680592323834187,0.22828536373897748,0.06,0.03,21.054512271060165,0.7027255918211065
5,0.9496581774235756,0.13385326254190136,0.06,0.01999999999999999,21.59529238676896,1.0966993283625381
6,0.9461726135334919,-0.09647403504871954,0.2,0.09999999999999998,21.66853719617391,1.135235267010442
7,0.9413284372461108,-0.06040303241518636,0.20000000000000007,0.09999999999999998,21.869130006801196,1.2294276556470802
8,0.9350593722085817,-0.13348447977850494,0.06000000000000005,0.020000000000000018,22.10280177006023,1.3388680336994079
9,0.9292444226210169,-0.19601403034827383,0.06000000000000005,0.020000000000000018,22.3221148050064,1.4436843321221065
10,0.9283844171919995,-0.18876106665489722,0.04500000000000004,0.030000000000000027,22.358876231625878,1.4616160912952623
11,0.9268848367751428,-0.17726896174948178,0.05999999999999994,0.03500000000000003,22.423469528080435,1.492152789205389
12,0.9207717475806341,-0.2685865188238391,0.06000000000000005,0.03500000000000003,22.6560950704768,1.5994547142709563
13,0.9185049927975157,-0.34726748878658587,0.1200000000000001,0.07999999999999996,22.733994724679018,1.6338168567318128
14,0.9170926801463928,-0.3849502449615243,0.06000000000000005,0.010000000000000009,22.791605738062145,1.653225897859262
15,0.9157247601081752,-0.4082049269548072,0.06000000000000005,0.020000000000000018,22.847836124474682,1.6747791040861197
16,0.91369754618614,-0.48547316681056135,0.06000000000000005,0.020000000000000018,22.920525031692517,1.704022934257234
17,0.9130904793901732,-0.49506273456956107,0.09000000000000008,0.040000000000000036,22.94446362182148,1.7146693693952073
18,0.9965038956811976,0.0036508957120350034,0.09000000000000008,0.040000000000000036,20.11086103354796,0.06571868357001129
19,0.9929262995580163,-0.06332768294780258,0.09000000000000008,0.040000000000000036,20.214977216915678,0.11220716639759373
20,0.9922217958471776,-0.08268556174124501,0.09000000000000008,0.040000000000000036,20.23400594063676,0.1206795846341947
21,0.9915843768843853,-0.10303313280908616,0.09000000000000008,0.040000000000000036,20.250527019023167,0.12802943781606735
22,0.9793522573629679,0.06507995938844881,0.09000000000000008,0.050000000000000044,20.673721615299065,0.4090371985014964
23,0.972681100996388,-0.02365392698028436,0.41999999999999993,0.20000000000000007,20.88455744317392,0.5100371216550954
24,0.969356112481672,-0.067354545452492,0.41999999999999993,0.19999999999999996,20.99125067656549,0.5609435129022642
25,0.9477289101600227,0.17330961454738347,0.06000000000000005,0.02499999999999991,21.656612138292115,1.158509322810335
26,0.9451651642607322,0.2294631582540022,0.06000000000000005,0.02499999999999991,21.737438875363974,1.2433896479500963
27,0.933725580941965,0.3124091271099562,0.06000000000000005,0.020000000000000018,22.02797481758752,1.5664945045257541
28,0.925507478387993,0.39031444368075857,0.1200000000000001,0.07000000000000006,22.236139322521094,1.8120306432708264
29,0.9219500579020493,0.49558559179548756,0.20000000000000018,0.6000000000000001,22.3444534802733,1.9526339756631999
30,0.917788887116629,0.41117769306762153,0.1499999999999999,0.06999999999999984,22.492363131498696,2.026965559221609
31,0.9168734657631317,0.38813495996250136,0.20999999999999996,0.10000000000000009,22.52332502807484,2.0430410378787
32,0.9165898221625245,0.3804050663711636,0.06000000000000005,0.040000000000000036,22.531139113272808,2.048254071037602
